Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-175849-MesureE7-160MHz
20	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,377116920E+0	-1,600000000E+1	NaN	NaN	0,000000000E+0	18,41	1413,10	18,34	18,47	E7 a:	10,35050
21	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,475267976E+0	-1,500000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,34	18,45	E7 b:	-51,62198
22	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,583595275E+0	-1,400000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,47	E8 att:	NaN
23	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,676165915E+0	-1,300000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,34	18,46	E8 a:	NaN
24	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,775630155E+0	-1,200000000E+1	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,45	E8 b:	NaN
25	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	3,859009452E+0	-1,100000000E+1	NaN	NaN	0,000000000E+0	18,41	1413,10	18,33	18,47	E9 att:	NaN
26	0,000000000E+0	0,000000000E+0	1,065264523E-1	2,519713609E+0	2,413187156E+0	3,967008667E+0	-1,000000000E+1	NaN	NaN	0,000000000E+0	18,42	1413,10	18,33	18,46	E9 a:	NaN
27	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,060892527E+0	-9,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,33	18,45	E9 b:	NaN
28	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,162654800E+0	-8,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,46	NI9205_MP1l a:	1210,00000
29	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,259493137E+0	-7,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,34	18,47	NI9205_MP2l a:	1210,00000
30	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,355674989E+0	-6,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,47	NI9205_MP3l a:	1210,00000
31	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,441352376E+0	-5,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,33	18,47	NI9205_MP4l a:	1210,00000
32	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,535892984E+0	-4,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,34	18,46	NI9205_MP5l a:	1210,00000
33	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	4,636670697E+0	-3,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,46	NI9205_MP6l a:	1220,00000
34	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,734165798E+0	-2,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,34	18,45	NI9205_MP7l a:	1050,00000
35	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,830347883E+0	-1,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,46	NI9205_MP8l a:	1050,00000
36	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	4,924888684E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,46	NI9205_MP9l a:	500,00000
37	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	5,012207662E+0	1,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,45	NI9201_MP1m a:	1,00000
38	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,097885347E+0	2,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,46	NI9201_MP2m a:	1,00000
39	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,190456684E+0	3,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,45	NI9201_MP3m a:	1,00000
40	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	5,286967280E+0	4,000000000E+0	NaN	NaN	0,000000000E+0	18,42	1413,10	18,36	18,47	NI9201_MP4m a:	1,00000
41	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,381508324E+0	5,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,36	18,47	NI9201_MP5m a:	1,00000
42	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,476049420E+0	6,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,36	18,46	NI9201_MP6m a:	1,00000
43	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,382493127E+0	5,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,46	NI9775_MP1r a:	1,00000
44	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,286967280E+0	4,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,37	18,46	NI9775_MP2r a:	1,00000
45	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,192098020E+0	3,000000000E+0	NaN	NaN	0,000000000E+0	18,42	1413,10	18,35	18,47	
46	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	5,099198415E+0	2,000000000E+0	NaN	NaN	0,000000000E+0	18,40	1413,10	18,36	18,46
47	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,012535929E+0	1,000000000E+0	NaN	NaN	0,000000000E+0	18,42	1413,10	18,34	18,47
48	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,924560418E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,43	1413,10	18,35	18,47
49	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,924560418E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,41	1413,10	18,34	18,46
